date,World
10/28/2021,513172
10/29/2021,487245
10/30/2021,504178
10/31/2021,464224
11/1/2021,342765
11/2/2021,341954
11/3/2021,493528
11/4/2021,505567
11/5/2021,515981
11/6/2021,507113
11/7/2021,464032
11/8/2021,363857
11/9/2021,380524
11/10/2021,571386
11/11/2021,553921
11/12/2021,551092
11/13/2021,503752
11/14/2021,522759
11/15/2021,418721
11/16/2021,403854
11/17/2021,631575
11/18/2021,602884
11/19/2021,609409
11/20/2021,618390
11/21/2021,549379
11/22/2021,431733
11/23/2021,436554
11/24/2021,735292
11/25/2021,651148
11/26/2021,661720
11/27/2021,582857
11/28/2021,538984
11/29/2021,451960
11/30/2021,454174
12/1/2021,650343
12/2/2021,691074
12/3/2021,699146
12/4/2021,686143
12/5/2021,631046
12/6/2021,475315
12/7/2021,454578
12/8/2021,736974
12/9/2021,700789
12/10/2021,675540
12/11/2021,664313
12/12/2021,609252
12/13/2021,483820
12/14/2021,454163
12/15/2021,771656
12/16/2021,731056
12/17/2021,777761
12/18/2021,748159
12/19/2021,684322
12/20/2021,538257
12/21/2021,540554
12/22/2021,932061
12/23/2021,938090
12/24/2021,1017581
12/25/2021,1040870
12/26/2021,919184
12/27/2021,589872
12/28/2021,816030
12/29/2021,1568690
12/30/2021,1639395
12/31/2021,1868625
1/1/2022,1984897
1/2/2022,1669441
1/3/2022,1137721
1/4/2022,1439688
1/5/2022,2644202
1/6/2022,2787832
1/7/2022,2717582
1/8/2022,2630304
1/9/2022,2760771
1/10/2022,2223800
1/11/2022,2030742
1/12/2022,3572678
1/13/2022,3229948
1/14/2022,3241697
1/15/2022,3238767
1/16/2022,3164696
1/17/2022,2483250
1/18/2022,2238244
1/19/2022,3754120
1/20/2022,3781776
1/21/2022,3836237
1/22/2022,3723795
1/23/2022,3495063
1/24/2022,2731698
1/25/2022,2503375
1/26/2022,4061379
1/27/2022,3646023
1/28/2022,3610757
1/29/2022,3514897
1/30/2022,3187196
1/31/2022,2798372
2/1/2022,2263982
2/2/2022,3428273
2/3/2022,3174600
2/4/2022,3026510
2/5/2022,3006135
2/6/2022,2506157
2/7/2022,2064861
2/8/2022,1900930
2/9/2022,2996318
2/10/2022,2640136
2/11/2022,2489269
2/12/2022,2296621
2/13/2022,1939018
2/14/2022,1616224
2/15/2022,1568086
2/16/2022,2098434
2/17/2022,2072021
2/18/2022,2040974
2/19/2022,1877052
2/20/2022,1635134
2/21/2022,1338638
2/22/2022,1346585
2/23/2022,1774563
2/24/2022,1854675
2/25/2022,1714542
2/26/2022,1605505
2/27/2022,1324796
2/28/2022,1255176
3/1/2022,1212832
3/2/2022,1611062
3/3/2022,1627851
3/4/2022,1710833
3/5/2022,1662765
3/6/2022,1481438
3/7/2022,1308070
3/8/2022,1279018
3/9/2022,1814637
3/10/2022,1888314
3/11/2022,1788364
3/12/2022,1777960
3/13/2022,1827447
3/14/2022,1351512
3/15/2022,1529894
3/16/2022,2093021
3/17/2022,2236572
3/18/2022,2060567
3/19/2022,1765372
3/20/2022,1734965
3/21/2022,1177006
3/22/2022,1352576
3/23/2022,2035393
3/24/2022,1816053
3/25/2022,1718661
3/26/2022,1628160
3/27/2022,1406120
3/28/2022,990192
3/29/2022,1399281
3/30/2022,1749236
3/31/2022,1545974
4/1/2022,1452682
4/2/2022,1308057
4/3/2022,1057450
4/4/2022,811353
4/5/2022,896041
4/6/2022,1325656
4/7/2022,1331403
4/8/2022,1176021
4/9/2022,1056698
4/10/2022,898375
4/11/2022,655086
4/12/2022,759690
4/13/2022,1081705
4/14/2022,955978
4/15/2022,856894
4/16/2022,866568
4/17/2022,649395
4/18/2022,488997
4/19/2022,473001
4/20/2022,666273
4/21/2022,938226
4/22/2022,854651
4/23/2022,717104
4/24/2022,612544
4/25/2022,418972
4/26/2022,475021
4/27/2022,701963
4/28/2022,715569
4/29/2022,658132
4/30/2022,570345
5/1/2022,497104
5/2/2022,359490
5/3/2022,373504
5/4/2022,754918
5/5/2022,598077
5/6/2022,575492
5/7/2022,552031
5/8/2022,494581
5/9/2022,415464
5/10/2022,414300
5/11/2022,663005
5/12/2022,653615
5/13/2022,659487
5/14/2022,538463
5/15/2022,589710
5/16/2022,429896
5/17/2022,386812
5/18/2022,656658
5/19/2022,655616
5/20/2022,624488
5/21/2022,555538
5/22/2022,535047
5/23/2022,397696
5/24/2022,346223
5/25/2022,562322
5/26/2022,587742
5/27/2022,523963
5/28/2022,474731
5/29/2022,568162
5/30/2022,356622
5/31/2022,304785
6/1/2022,481802
6/2/2022,600926
6/3/2022,546548
6/4/2022,501891
6/5/2022,494147
6/6/2022,334018
6/7/2022,258909
6/8/2022,548303
6/9/2022,673995
6/10/2022,619379
6/11/2022,526251
6/12/2022,532745
6/13/2022,358838
6/14/2022,312690
6/15/2022,677236
6/16/2022,629737
6/17/2022,621731
6/18/2022,591259
6/19/2022,530372
6/20/2022,401950
6/21/2022,377023
6/22/2022,757722
6/23/2022,795481
6/24/2022,750036
6/25/2022,805461
6/26/2022,690615
6/27/2022,490927
6/28/2022,468028
6/29/2022,915840
6/30/2022,913227
7/1/2022,939423
7/2/2022,963891
7/3/2022,854283
7/4/2022,582239
7/5/2022,537384
7/6/2022,1082013
7/7/2022,1032036
7/8/2022,1042894
7/9/2022,1100852
7/10/2022,983545
7/11/2022,679549
7/12/2022,616384
7/13/2022,1197197
7/14/2022,1107004
7/15/2022,1070025
7/16/2022,981771
7/17/2022,1207135
7/18/2022,881470
7/19/2022,694250
7/20/2022,1122087
7/21/2022,1094574
7/22/2022,1096343
7/23/2022,1116201
7/24/2022,1295064
7/25/2022,878391
7/26/2022,745584
7/27/2022,1116201
7/28/2022,1051257
7/29/2022,1037816
7/30/2022,1040164
7/31/2022,1389022
8/1/2022,785126
8/2/2022,684625
8/3/2022,1000650
8/4/2022,980554
8/5/2022,1365971
8/6/2022,960941
8/7/2022,1233059
8/8/2022,708386
8/9/2022,633852
8/10/2022,902885
8/11/2022,902168
8/12/2022,902474
8/13/2022,856042
8/14/2022,875056
8/15/2022,624253
8/16/2022,504915
8/17/2022,804030
8/18/2022,891424
8/19/2022,873409
8/20/2022,864563
8/21/2022,852183
8/22/2022,612856
8/23/2022,594404
8/24/2022,766374
8/25/2022,798289
8/26/2022,775530
8/27/2022,716445
8/28/2022,508466
8/29/2022,682777
8/30/2022,477122
8/31/2022,662944
9/1/2022,670270
9/2/2022,647644
9/3/2022,611331
9/4/2022,553856
9/5/2022,430182
9/6/2022,415956
9/7/2022,503367
9/8/2022,604304
9/9/2022,543046
9/10/2022,417689
9/11/2022,359024
9/12/2022,570353
9/13/2022,364386
9/14/2022,563404
9/15/2022,544000
9/16/2022,534652
9/17/2022,448221
9/18/2022,374004
9/19/2022,517336
9/20/2022,329682
9/21/2022,496659
9/22/2022,442434
9/23/2022,492969
9/24/2022,511268
9/25/2022,390079
9/26/2022,321739
9/27/2022,398999
9/28/2022,574669
9/29/2022,513524
9/30/2022,502579
10/1/2022,555843
10/2/2022,399926
10/3/2022,286614
10/4/2022,260344
10/5/2022,580206
10/6/2022,556682
10/7/2022,543209
10/8/2022,574470
10/9/2022,388448
10/10/2022,299725
10/11/2022,383783
10/12/2022,610028
10/13/2022,524270
10/14/2022,500759
10/15/2022,538870
10/16/2022,377389
10/17/2022,300219
10/18/2022,363547
10/19/2022,539916
10/20/2022,461982
10/21/2022,374380
10/22/2022,637616
10/23/2022,280692
10/24/2022,242728
10/25/2022,310383
10/26/2022,418539
10/27/2022,347938
10/28/2022,573246
10/29/2022,420973
10/30/2022,248557
10/31/2022,218148
11/1/2022,271411
11/2/2022,333740
11/3/2022,298133
11/4/2022,577973
11/5/2022,345678
11/6/2022,267488
11/7/2022,230941
11/8/2022,444050
11/9/2022,282404
11/10/2022,339237
11/11/2022,603804
11/12/2022,423947
11/13/2022,267279
11/14/2022,241675
11/15/2022,335087
11/16/2022,404679
11/17/2022,343113
11/18/2022,525870
11/19/2022,475208
11/20/2022,314276
11/21/2022,240306
11/22/2022,514772
11/23/2022,463426
11/24/2022,341078
11/25/2022,587966
11/26/2022,553331
11/27/2022,387874
11/28/2022,253332
11/29/2022,359457
11/30/2022,607736
12/1/2022,453863
12/2/2022,738812
12/3/2022,447884
12/4/2022,399000
12/5/2022,285782
12/6/2022,364048
12/7/2022,544238
12/8/2022,649670
12/9/2022,942781
12/10/2022,917577
12/11/2022,922447
12/12/2022,1063579
12/13/2022,1291575
12/14/2022,1629601
12/15/2022,1683111
12/16/2022,2772293
12/17/2022,2809886
12/18/2022,3634484
